"Story","Title","Result","Date","Stability","Duration (s)"
"add activity to my list","add activity to my list","SUCCESS","2021-07-12T21:59:27.603-05:00[America/Bogota]","0.0","51.77"
"add activity to my list","add activity to my list","FAILURE","2021-07-13T12:28:35.609-05:00[America/Bogota]","0.0","42.87"
"Login in travelocity","Login","PENDING","2021-07-11T19:11:08.679-05:00[America/Bogota]","0.0","0.24"
"Login in travelocity","Login","ERROR","2021-07-13T12:29:18.695-05:00[America/Bogota]","0.0","32.1"
"search cars","Search cars for airport transportation","SUCCESS","2021-07-13T11:51:36.538-05:00[America/Bogota]","0.0","38.13"
"search cars","Search cars for airport transportation","SUCCESS","2021-07-13T12:29:50.877-05:00[America/Bogota]","0.0","27.26"
"search flight one-way in travelocity","Search a flight one-way in the morning most cheap","SUCCESS","2021-07-12T00:23:48.64-05:00[America/Bogota]","0.0","19.51"
"search flight one-way in travelocity","Search a flight one-way in the morning","SUCCESS","2021-07-12T02:03:17.939-05:00[America/Bogota]","0.0","19.91"
"search flight one-way in travelocity","Search a flight one-way in the morning","FAILURE","2021-07-13T12:30:18.216-05:00[America/Bogota]","0.0","29.14"
"search stays in travelocity","Search stays","SUCCESS","2021-07-12T14:33:41.62-05:00[America/Bogota]","0.0","32.21"
"search stays in travelocity","Search stays","SUCCESS","2021-07-13T12:30:47.424-05:00[America/Bogota]","0.0","26.16"
